REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-08-29 17:01:13

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,90,,entropyEQ+ (sonible),entropyEQ_x64.vst3
,91,,freiraum (sonible),freiraum_x64.vst3
,92,,proximityEQ+ (sonible),proximityEQ_x64.vst3
,93,,smartComp2 (sonible),smartcomp2.vst3
,94,,smartEQ3 (sonible),smartEQ3.vst3
,95,,smartEQlive (sonible),smartEQlive_x64.vst3
,96,,smartLimit (sonible),smartlimit.vst3
,97,,smartReverb (sonible),smartreverb_x64.vst3
,98,,trueLevel (sonible),truelevel.vst3
,99,,trueBalance (sonible),truebalance.vst3
,100,,pureVerb (sonible),pureverb.vst3
,101,,pureLimit (sonible),purelimit.vst3
,102,,pureComp (sonible),purecomp.vst3
,103,,Chandler Limited Curve Bender (Softube),Chandler_Limited_Curve_Bender.vst3
,104,,Chandler Limited Germanium Comp (Softube),Chandler_Limited_Germanium_Comp.vst3
,105,,Chandler Limited Zener Limiter (Softube),Chandler_Limited_Zener_Limiter.vst3
,106,,Chandler Limited Zener-Bender (Softube),Chandler_Limited_Zener_Bender.vst3
,107,,Drawmer 1973 (Softube),Drawmer_1973.vst3
,108,,Drawmer S73 (Softube),Drawmer_S73.vst3
,109,,Summit Audio TLA-100A (Softube),Summit_Audio_TLA_100A.vst3
,110,,Tube-Tech CL 1B mk II (Softube),Tube_Tech_CL_1B_mk_II.vst3
,111,,Tube-Tech Equalizers mk II (Softube),Tube_Tech_Equalizers_mk_II.vst3
,112,,Valley People Dyna-mite Gate (Softube),Valley_People_Dyna_mite_Gate.vst3
,113,,Valley People Dyna-mite Slam (Softube),Valley_People_Dyna_mite_Slam.vst3
,114,,Valley People Dyna-mite (Softube),Valley_People_Dyna_mite.vst3
,115,,Deelay (Sixth Sample),Deelay.vst3
,116,,RRS AQ550 (Red Rock Sound),RRS_AQ550_VST3_64.vst3
,117,,RRS AQ550b (Red Rock Sound),RRS_AQ550b_VST3_64.vst3
,118,,RRS AQ560 (Red Rock Sound),RRS_AQ560_VST3_64.vst3
,119,,RRS EQ3 (Red Rock Sound),RRS_EQ3_VST3_64.vst3
,120,Instr.,RRS Ivoks (Red Rock Sound)!!!VSTi,RRS_Ivoks_VST3_64.vst3
,121,,P11 Abyss (Pulsar Modular),P11_Abyss.vst3
,122,,P42 Climax (Pulsar Modular),P42_Climax.vst3
,123,,Pulsar 1178 (Pulsar),Pulsar_1178.vst3
,124,,Pulsar 8200 (Pulsar),Pulsar_8200.vst3
,125,,Pulsar Echorec (Pulsar),Pulsar_Echorec.vst3
,126,,Pulsar Massive (Pulsar),Pulsar_Massive.vst3
,127,,Pulsar Mu (Pulsar),Pulsar_Mu.vst3
,128,,Pulsar Smasher (Pulsar),Pulsar_Smasher.vst3
,129,,Ampeg SVTVR (Plugin Alliance),Ampeg_SVTVR.vst3
,130,,Black Box Analog Design HG-2 (Plugin Alliance),Black_Box_Analog_Design_HG_2.vst3
,131,,Gallien Krueger 800RB (Plugin Alliance),Gallien_Krueger_800RB.vst3
,132,,LTL SILVER BULLET mk2 (Plugin Alliance),LTL_SILVER_BULLET_mk2.vst3
,133,,NEOLD U17 (Plugin Alliance),NEOLD_U17.vst3
,134,,NEOLD U2A (Plugin Alliance),NEOLD_U2A.vst3
,135,,NEOLD V76U73 (Plugin Alliance),NEOLD_V76U73.vst3
,136,,Purple Audio MC 77 (Plugin Alliance),Purple_Audio_MC_77.vst3
,137,,SPL Vitalizer MK2-T (Plugin Alliance),SPL_Vitalizer_MK2_T.vst3
,138,,Gem Comp LA (Overloud),Gem_Comp_LA_64.vst3
,139,,Gem Comp670 (Overloud),Gem_Comp670_64.vst3
,140,,Gem Comp76 (Overloud),Gem_Comp76_64.vst3
,141,,Gem EQ84 (Overloud),Gem_EQ84_64.vst3
,142,,Gem Modula (Overloud),Gem_Modula_64.vst3
,143,,TH-U Slate (Overloud),TH_U_Slate_64.vst3
,144,,TH-U (Overloud),TH_U_64.vst3
,145,,soothe2 (oeksound),soothe2_x64.vst3
,146,,spiff (oeksound),spiff_x64.vst3
,147,,Need 31102 Console EQ (NoiseAsh Audio),Need_31102_Console_EQ.vst3
,148,,Need 533 EQ (NoiseAsh Audio),Need_533_EQ.vst3
,149,,Need 73 Console EQ (NoiseAsh Audio),Need_73_Console_EQ.vst3
,150,,Need 81 Console EQ (NoiseAsh Audio),Need_81_Console_EQ.vst3
,151,,Need 84 Console EQ (NoiseAsh Audio),Need_84_Console_EQ.vst3
,152,,Need Pre 31102 (NoiseAsh Audio),Need_Pre_31102.vst3
,153,,Need Pre Trilogy (NoiseAsh Audio),Need_Pre_Trilogy.vst3
,154,,Rule Tec EQ1A (NoiseAsh Audio),Rule_Tec_EQ1A.vst3
,155,,Rule Tec EQ5M (NoiseAsh Audio),Rule_Tec_EQ5M.vst3
,156,,Rule Tec Heritage Pro (NoiseAsh Audio),Rule_Tec_Heritage_Pro.vst3
,157,,Newfangled Elevate (Newfangled Audio),Newfangled_Elevate.vst3
,158,,Newfangled EQuivocate (Newfangled Audio),Newfangled_EQuivocate.vst3
,159,,Newfangled Punctuate (Newfangled Audio),Newfangled_Punctuate.vst3
,160,,Newfangled Saturate (Newfangled Audio),Newfangled_Saturate.vst3
,161,,Archetype Cory Wong (Neural DSP),Archetype_Cory_Wong.vst3
,162,,Archetype Gojira (Neural DSP),Archetype_Gojira.vst3
,163,,Parallax (Neural DSP) (mono),Parallax.vst3
,164,,Ampbox (Mercuriall),Ampbox.vst3
,165,,MBassador (MeldaProduction),MBassador.vst3
,166,,MTuner (MeldaProduction),MTuner.vst3
,167,,MStereoProcessor (MeldaProduction),MStereoProcessor.vst3
,168,,MConvolutionEZ (MeldaProduction),MConvolutionEZ.vst3
,169,,MFreqShifter (MeldaProduction),MFreqShifter.vst3
,170,,MComb (MeldaProduction),MComb.vst3
,171,,MSaturator (MeldaProduction),MSaturator.vst3
,172,,MSaturatorMB (MeldaProduction),MSaturatorMB.vst3
,173,,REFERENCE (Mastering the Mix),REFERENCE.vst3
,174,,REF SEND (Mastering the Mix),REFSEND.vst3
,175,,Lustrous Plates (LiquidSonics),Lustrous_Plates.vst3
,176,,Reverberate (LiquidSonics),Reverberate.vst3
,177,,Seventh Heaven Professional (LiquidSonics),Seventh_Heaven_Professional.vst3
,178,,AR-1 (Kush Audio),AR_1.vst3
,179,,LG Drive (Kush Audio),LG_Drive.vst3
,180,,REDDI (Kush Audio),REDDI.vst3
,181,,Efektor Whammo (Kuassa),EfektorWhammo.vst3
,182,,Amplified Instrument Processor (Korneff Audio),Amplified_Instrument_Processor.vst3
,183,,Echoleffe Tape Delay (Korneff Audio),Echoleffe_Tape_Delay.vst3
,184,,Micro Digital Reverberator (Korneff Audio),Micro_Digital_Reverberator.vst3
,185,,Pawn Shop Comp 2 (Korneff Audio),Pawn_Shop_Comp_2.vst3
,186,,Talkback Limiter (Korneff Audio),Talkback_Limiter.vst3
,187,,Carve EQ (Kilohearts),Carve_EQ.vst3
,188,,Disperser (Kilohearts),Disperser.vst3
,189,,Faturator (Kilohearts),Faturator.vst3
,190,,kHs 3-Band EQ (Kilohearts),kHs_3_Band_EQ.vst3
,191,,kHs Bitcrush (Kilohearts),kHs_Bitcrush.vst3
,192,,kHs Channel Mixer (Kilohearts),kHs_Channel_Mixer.vst3
,193,,kHs Chorus (Kilohearts),kHs_Chorus.vst3
,194,,kHs Comb Filter (Kilohearts),kHs_Comb_Filter.vst3
,195,,kHs Compressor (Kilohearts),kHs_Compressor.vst3
,196,,kHs Convolver (Kilohearts),kHs_Convolver.vst3
,197,,kHs Delay (Kilohearts),kHs_Delay.vst3
,198,,kHs Distortion (Kilohearts),kHs_Distortion.vst3
,199,,kHs Dual Delay (Kilohearts),kHs_Dual_Delay.vst3
,200,,kHs Dynamics (Kilohearts),kHs_Dynamics.vst3
,201,,kHs Ensemble (Kilohearts),kHs_Ensemble.vst3
,202,,kHs Filter (Kilohearts),kHs_Filter.vst3
,203,,kHs Flanger (Kilohearts),kHs_Flanger.vst3
,204,,kHs Formant Filter (Kilohearts),kHs_Formant_Filter.vst3
,205,,kHs Frequency Shifter (Kilohearts),kHs_Frequency_Shifter.vst3
,206,,kHs Gain (Kilohearts),kHs_Gain.vst3
,207,,kHs Gate (Kilohearts),kHs_Gate.vst3
,208,,kHs Haas (Kilohearts),kHs_Haas.vst3
,209,,kHs Ladder Filter (Kilohearts),kHs_Ladder_Filter.vst3
,210,,kHs Limiter (Kilohearts),kHs_Limiter.vst3
,211,,kHs Nonlinear Filter (Kilohearts),kHs_Nonlinear_Filter.vst3
,212,,kHs Phase Distortion (Kilohearts),kHs_Phase_Distortion.vst3
,213,,kHs Phaser (Kilohearts),kHs_Phaser.vst3
,214,,kHs Pitch Shifter (Kilohearts),kHs_Pitch_Shifter.vst3
,215,,kHs Resonator (Kilohearts),kHs_Resonator.vst3
,216,,kHs Reverb (Kilohearts),kHs_Reverb.vst3
,217,,kHs Reverser (Kilohearts),kHs_Reverser.vst3
,218,,kHs Ring Mod (Kilohearts),kHs_Ring_Mod.vst3
,219,,kHs Stereo (Kilohearts),kHs_Stereo.vst3
,220,,kHs Tape Stop (Kilohearts),kHs_Tape_Stop.vst3
,221,,kHs Trance Gate (Kilohearts),kHs_Trance_Gate.vst3
,222,,kHs Transient Shaper (Kilohearts),kHs_Transient_Shaper.vst3
,223,,Multipass (Kilohearts) (4->12ch),Multipass.vst3
,224,Instr.,Phase Plant (Kilohearts)!!!VSTi,Phase_Plant.vst3
,225,,Slice EQ (Kilohearts),Slice_EQ.vst3
,226,,Snap Heap (Kilohearts),Snap_Heap.vst3
,227,,Xtressor (Kiive Audio),Xtressor.vst3
,228,,KClip3 (Kazrog),KClip3.vst3
,229,,True 252 (Kazrog),True_252.vst3
,230,,True Dynamics (Kazrog),True_Dynamics.vst3
,231,,True Iron (Kazrog),True_Iron.vst3
,232,Instr.,Initial 808 Studio II (Initial Audio)!!!VSTi,Initial_808_Studio_II.vst3
,233,,TR5 Fame Studio Reverb (IK Multimedia),TR5_Fame_Studio_Reverb.vst3
,234,,TR5 Joe Chiccarelli Vocal Strip (IK Multimedia),TR5_Joe_Chiccarelli_Vocal_Strip.vst3
,235,,TR5 Stealth Limiter (IK Multimedia),TR5_Stealth_Limiter.vst3
,236,,TR5 Sunset Sound Studio Reverb (IK Multimedia),TR5_Sunset_Sound_Studio_Reverb.vst3
,237,,TR5 Tape Machine 24 (IK Multimedia),TR5_Tape_Machine_24.vst3
,238,,TR5 Tape Machine 440 (IK Multimedia),TR5_Tape_Machine_440.vst3
,239,,TR5 Tape Machine 80 (IK Multimedia),TR5_Tape_Machine_80.vst3
,240,,TR5 Tape Machine 99 (IK Multimedia),TR5_Tape_Machine_99.vst3
,241,,TR5 TASCAM 388 (IK Multimedia),TR5_TASCAM_388.vst3
,242,,TR5 TASCAM PORTA ONE (IK Multimedia),TR5_TASCAM_PORTA_ONE.vst3
,243,,TR5 TEAC A-3340S (IK Multimedia),TR5_TEAC_A_3340S.vst3
,244,,TR5 TEAC A-6100 MKII (IK Multimedia),TR5_TEAC_A_6100_MKII.vst3
,245,,TR5 The Farm Stone Room (IK Multimedia),TR5_The_Farm_Stone_Room.vst3
,246,,GainMatch (LetiMix),GainMatch_VST3.vst3
,247,,VCL-864U (Fuse Audio Labs),VCL_864U.vst3
,248,,VCS-1 (Fuse Audio Labs),VCS_1.vst3
,249,,VREV-140 (Fuse Audio Labs),VREV_140.vst3
,250,,VREV-305 (Fuse Audio Labs),VREV_305.vst3
,251,,Pro-C 2 (FabFilter),FabFilter_Pro_C_2.vst3
,252,,Pro-DS (FabFilter),FabFilter_Pro_DS.vst3
,253,,Pro-G (FabFilter),FabFilter_Pro_G.vst3
,254,,Pro-L 2 (FabFilter),FabFilter_Pro_L_2.vst3
,255,,Pro-MB (FabFilter),FabFilter_Pro_MB.vst3
,256,,Pro-Q 3 (FabFilter),FabFilter_Pro_Q_3.vst3
,257,,Pro-R (FabFilter),FabFilter_Pro_R.vst3
,258,,Timeless 3 (FabFilter),FabFilter_Timeless_3.vst3
,259,,Blackhole (Eventide),Blackhole.vst3
,260,,Omnipressor (Eventide),Omnipressor.vst3
,261,,ShimmerVerb (Eventide),ShimmerVerb.vst3
,262,,Tverb (Eventide),Tverb.vst3
,263,,Realphones (dSONIQ),Realphones_x64.vst3
,264,,EQuality (DMGAudio),EQuality.vst3
,265,,EQuilibrium (DMGAudio),EQuilibrium.vst3
,266,,Essence (DMGAudio),Essence.vst3
